code	description	type
T293	Burns of multiple regions, at least one burn of third degree mentioned	icd10
T294	Corrosions of multiple regions, unspecified degree	icd10
T295	Corrosions of multiple regions, no more than first-degree corrosions mentioned	icd10
T296	Corrosions of multiple regions, no more than second-degree corrosions mentioned	icd10
T297	Corrosions of multiple regions, at least one corrosion of third degree mentioned	icd10
T30	Burn and corrosion, body region unspecified	icd10
T300	Burn of unspecified body region, unspecified degree	icd10
T301	Burn of first degree, body region unspecified	icd10
T302	Burn of second degree, body region unspecified	icd10
T303	Burn of third degree, body region unspecified	icd10
T304	Corrosion of unspecified body region, unspecified degree	icd10
T305	Corrosion of first degree, body region unspecified	icd10
T306	Corrosion of second degree, body region unspecified	icd10
T307	Corrosion of third degree, body region unspecified	icd10
T31	Burns classified according to extent of body surface involved	icd10
T310	Burns involving less than 10% of body surface	icd10
T311	Burns involving 10-19% of body surface	icd10
T312	Burns involving 20-29% of body surface	icd10
T313	Burns involving 30-39% of body surface	icd10
T314	Burns involving 40-49% of body surface	icd10
T315	Burns involving 50-59% of body surface	icd10
T316	Burns involving 60-69% of body surface	icd10
T317	Burns involving 70-79% of body surface	icd10
T318	Burns involving 80-89% of body surface	icd10
T319	Burns involving 90% or more of body surface	icd10
T32	Corrosions classified according to extent of body surface involved	icd10
T320	Corrosions involving less than 10% of body surface	icd10
T321	Corrosions involving 10-19% of body surface	icd10
T322	Corrosions involving 20-29% of body surface	icd10
T323	Corrosions involving 30-39% of body surface	icd10
T324	Corrosions involving 40-49% of body surface	icd10
T325	Corrosions involving 50-59% of body surface	icd10
T326	Corrosions involving 60-69% of body surface	icd10
T327	Corrosions involving 70-79% of body surface	icd10
T328	Corrosions involving 80-89% of body surface	icd10
T329	Corrosions involving 90% or more of body surface	icd10
T33	Superficial frostbite	icd10
T330	Superficial frostbite of head	icd10
T331	Superficial frostbite of neck	icd10
T332	Superficial frostbite of thorax	icd10
T333	Superficial frostbite of abdominal wall, lower back and pelvis	icd10
T334	Superficial frostbite of arm	icd10
T335	Superficial frostbite of wrist and hand	icd10
T336	Superficial frostbite of hip and thigh	icd10
T337	Superficial frostbite of knee and lower leg	icd10
T338	Superficial frostbite of ankle and foot	icd10
T339	Superficial frostbite of other and unspecified sites	icd10
T34	Frostbite with tissue necrosis	icd10
T340	Frostbite with tissue necrosis of head	icd10
T341	Frostbite with tissue necrosis of neck	icd10
T342	Frostbite with tissue necrosis of thorax	icd10
T343	Frostbite with tissue necrosis of abdominal wall, lower back and pelvis	icd10
T344	Frostbite with tissue necrosis of arm	icd10
T345	Frostbite with tissue necrosis of wrist and hand	icd10
T346	Frostbite with tissue necrosis of hip and thigh	icd10
T347	Frostbite with tissue necrosis of knee and lower leg	icd10
T348	Frostbite with tissue necrosis of ankle and foot	icd10
T349	Frostbite with tissue necrosis of other and unspecified sites	icd10
T35	Frostbite involving multiple body regions and unspecified frostbite	icd10
T350	Superficial frostbite involving multiple body regions	icd10
T351	Frostbite with tissue necrosis involving multiple body regions	icd10
T352	Unspecified frostbite of head and neck	icd10
T353	Unspecified frostbite of thorax, abdomen, lower back and pelvis	icd10
T354	Unspecified frostbite of upper limb	icd10
T355	Unspecified frostbite of lower limb	icd10
T356	Unspecified frostbite involving multiple body regions	icd10
T357	Unspecified frostbite of unspecified site	icd10
T36	Poisoning by systemic antibiotics	icd10
T360	Poisoning: Penicillins	icd10
T361	Poisoning: Cefalosporins and other beta-lactam antibiotics	icd10
T362	Poisoning: Chloramphenicol group	icd10
T363	Poisoning: Macrolides	icd10
T364	Poisoning: Tetracyclines	icd10
T365	Poisoning: Aminoglycosides	icd10
T366	Poisoning: Rifamycins	icd10
T367	Poisoning: Antifungal antibiotics, systemically used	icd10
T368	Poisoning: Other systemic antibiotics	icd10
T369	Poisoning: Systemic antibiotic, unspecified	icd10
T37	Poisoning by other systemic anti-infectives and antiparasitics	icd10
T370	Poisoning: Sulfonamides	icd10
T371	Poisoning: Antimycobacterial drugs	icd10
T372	Poisoning: Antimalarials and drugs acting on other blood protozoa	icd10
T373	Poisoning: Other antiprotozoal drugs	icd10
T374	Poisoning: Anthelminthics	icd10
T375	Poisoning: Antiviral drugs	icd10
T378	Poisoning: Other specified systemic anti-infectives and antiparasitics	icd10
T379	Poisoning: Systemic anti-infective and antiparasitic, unspecified	icd10
T38	Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified	icd10
T380	Poisoning: Glucocorticoids and synthetic analogues	icd10
T381	Poisoning: Thyroid hormones and substitutes	icd10
T382	Poisoning: Antithyroid drugs	icd10
T383	Poisoning: Insulin and oral hypoglycaemic [antidiabetic] drugs	icd10
T384	Poisoning: Oral contraceptives	icd10
T385	Poisoning: Other estrogens and progestogens	icd10
T386	Poisoning: Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified	icd10
T387	Poisoning: Androgens and anabolic congeners	icd10
T388	Poisoning: Other and unspecified hormones and their synthetic substitutes	icd10
T389	Poisoning: Other and unspecified hormone antagonists	icd10
T39	Poisoning by nonopioid analgesics, antipyretics and antirheumatics	icd10
T390	Poisoning: Salicylates	icd10
T391	Poisoning: 4-Aminophenol derivatives	icd10
T392	Poisoning: Pyrazolone derivatives	icd10
T393	Poisoning: Other nonsteroidal anti-inflammatory drugs [NSAID]	icd10
T394	Poisoning: Antirheumatics, not elsewhere classified	icd10
T398	Poisoning: Other nonopioid analgesics and antipyretics, not elsewhere classified	icd10
T399	Poisoning: Nonopioid analgesic, antipyretic and antirheumatic, unspecified	icd10
T40	Poisoning by narcotics and psychodysleptics [hallucinogens]	icd10
T400	Poisoning: Opium	icd10
T401	Poisoning: Heroin	icd10
T402	Poisoning: Other opioids	icd10
T403	Poisoning: Methadone	icd10
T404	Poisoning: Other synthetic narcotics	icd10
T405	Poisoning: Cocaine	icd10
T406	Poisoning: Other and unspecified narcotics	icd10
T407	Poisoning: Cannabis (derivatives)	icd10
T408	Poisoning: Lysergide [LSD]	icd10
T409	Poisoning: Other and unspecified psychodysleptics [hallucinogens]	icd10
T41	Poisoning by anaesthetics and therapeutic gases	icd10
T410	Poisoning: Inhaled anaesthetics	icd10
T411	Poisoning: Intravenous anaesthetics	icd10
T412	Poisoning: Other and unspecified general anaesthetics	icd10
T413	Poisoning: Local anaesthetics	icd10
T414	Poisoning: Anaesthetic, unspecified	icd10
T415	Poisoning: Therapeutic gases	icd10
T42	Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs	icd10
T420	Poisoning: Hydantoin derivatives	icd10
T421	Poisoning: Iminostilbenes	icd10
T422	Poisoning: Succinimides and oxazolidinediones	icd10
T423	Poisoning: Barbiturates	icd10
T424	Poisoning: Benzodiazepines	icd10
T425	Poisoning: Mixed antiepileptics, not elsewhere classified	icd10
T426	Poisoning: Other antiepileptic and sedative-hypnotic drugs	icd10
T427	Poisoning: Antiepileptic and sedative-hypnotic drugs, unspecified	icd10
T428	Poisoning: Antiparkinsonism drugs and other central muscle-tone depressants	icd10
T43	Poisoning by psychotropic drugs, not elsewhere classified	icd10
T430	Poisoning: Tricyclic and tetracyclic antidepressants	icd10
T431	Poisoning: Monoamine-oxidase-inhibitor antidepressants	icd10
T432	Poisoning: Other and unspecified antidepressants	icd10
T433	Poisoning: Phenothiazine antipsychotics and neuroleptics	icd10
T434	Poisoning: Butyrophenone and thioxanthene neuroleptics	icd10
T435	Poisoning: Other and unspecified antipsychotics and neuroleptics	icd10
T436	Poisoning: Psychostimulants with abuse potential	icd10
T438	Poisoning: Other psychotropic drugs, not elsewhere classified	icd10
T439	Poisoning: Psychotropic drug, unspecified	icd10
T44	Poisoning by drugs primarily affecting the autonomic nervous system	icd10
T440	Poisoning: Anticholinesterase agents	icd10
T441	Poisoning: Other parasympathomimetics [cholinergics]	icd10
T442	Poisoning: Ganglionic blocking drugs, not elsewhere classified	icd10
T443	Poisoning: Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified	icd10
T444	Poisoning: Predominantly alpha-adrenoreceptor agonists, not elsewhere classified	icd10
T445	Poisoning: Predominantly beta-adrenoreceptor agonists, not elsewhere classified	icd10
T446	Poisoning: Alpha-adrenoreceptor antagonists, not elsewhere classified	icd10
T447	Poisoning: Beta-adrenoreceptor antagonists, not elsewhere classified	icd10
T448	Poisoning: Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified	icd10
T449	Poisoning: Other and unspecified drugs primarily affecting the autonomic nervous system	icd10
T45	Poisoning by primarily systemic and haematological agents, not elsewhere classified	icd10
T450	Poisoning: Antiallergic and antiemetic drugs	icd10
T451	Poisoning: Antineoplastic and immunosuppressive drugs	icd10
T452	Poisoning: Vitamins, not elsewhere classified	icd10
T453	Poisoning: Enzymes, not elsewhere classified	icd10
T454	Poisoning: Iron and its compounds	icd10
T455	Poisoning: Anticoagulants	icd10
T456	Poisoning: Fibrinolysis-affecting drugs	icd10
T457	Poisoning: Anticoagulant antagonists, vitamin K and other coagulants	icd10
T458	Poisoning: Other primarily systemic and haematological agents	icd10
T459	Poisoning: Primarily systemic and haematological agent, unspecified	icd10
T46	Poisoning by agents primarily affecting the cardiovascular system	icd10
T460	Poisoning: Cardiac-stimulant glycosides and drugs of similar action	icd10
T461	Poisoning: Calcium-channel blockers	icd10
T462	Poisoning: Other antidysrhythmic drugs, not elsewhere classified	icd10
T463	Poisoning: Coronary vasodilators, not elsewhere classified	icd10
T464	Poisoning: Angiotensin-converting-enzyme inhibitors	icd10
T465	Poisoning: Other antihypertensive drugs, not elsewhere classified	icd10
T466	Poisoning: Antihyperlipidaemic and antiarteriosclerotic drugs	icd10
T467	Poisoning: Peripheral vasodilators	icd10
T468	Poisoning: Antivaricose drugs, including sclerosing agents	icd10
T469	Poisoning: Other and unspecified agents primarily affecting the cardiovascular system	icd10
T47	Poisoning by agents primarily affecting the gastrointestinal system	icd10
T470	Poisoning: Histamine H2-receptor antagonists	icd10
T471	Poisoning: Other antacids and anti-gastric-secretion drugs	icd10
T472	Poisoning: Stimulant laxatives	icd10
T473	Poisoning: Saline and osmotic laxatives	icd10
T474	Poisoning: Other laxatives	icd10
T475	Poisoning: Digestants	icd10
T476	Poisoning: Antidiarrhoeal drugs	icd10
T477	Poisoning: Emetics	icd10
T478	Poisoning: Other agents primarily affecting the gastrointestinal system	icd10
T479	Poisoning: Agent primarily affecting the gastrointestinal system, unspecified	icd10
T48	Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system	icd10
T480	Poisoning: Oxytocic drugs	icd10
T481	Poisoning: Skeletal muscle relaxants [neuromuscular blocking agents]	icd10
T482	Poisoning: Other and unspecified agents primarily acting on muscles	icd10
T483	Poisoning: Antitussives	icd10
T484	Poisoning: Expectorants	icd10
T485	Poisoning: Anti-common-cold drugs	icd10
T486	Poisoning: Antiasthmatics, not elsewhere classified	icd10
T487	Poisoning: Other and unspecified agents primarily acting on the respiratory system	icd10
T49	Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs	icd10
T490	Poisoning: Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified	icd10
T491	Poisoning: Antipruritics	icd10
T492	Poisoning: Local astringents and local detergents	icd10
T493	Poisoning: Emollients, demulcents and protectants	icd10
T494	Poisoning: Keratolytics, keratoplastics and other hair treatment drugs and preparations	icd10
T495	Poisoning: Ophthalmological drugs and preparations	icd10
T496	Poisoning: Otorhinolaryngological drugs and preparations	icd10
T497	Poisoning: Dental drugs, topically applied	icd10
T498	Poisoning: Other topical agents	icd10
T499	Poisoning: Topical agent, unspecified	icd10
T50	Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances	icd10
T500	Poisoning: Mineralocorticoids and their antagonists	icd10
T501	Poisoning: Loop [high-ceiling] diuretics	icd10
T502	Poisoning: Carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics	icd10
T503	Poisoning: Electrolytic, caloric and water-balance agents	icd10
T504	Poisoning: Drugs affecting uric acid metabolism	icd10
T505	Poisoning: Appetite depressants	icd10
T506	Poisoning: Antidotes and chelating agents, not elsewhere classified	icd10
T507	Poisoning: Analeptics and opioid receptor antagonists	icd10
T508	Poisoning: Diagnostic agents	icd10
T509	Poisoning: Other and unspecified drugs, medicaments and biological substances	icd10
T51	Toxic effect of alcohol	icd10
T510	Toxic effect: Ethanol	icd10
T511	Toxic effect: Methanol	icd10
T512	Toxic effect: 2-Propanol	icd10
T513	Toxic effect: Fusel oil	icd10
T518	Toxic effect: Other alcohols	icd10
T519	Toxic effect: Alcohol, unspecified	icd10
T52	Toxic effect of organic solvents	icd10
T520	Toxic effect: Petroleum products	icd10
T521	Toxic effect: Benzene	icd10
T522	Toxic effect: Homologues of benzene	icd10
T523	Toxic effect: Glycols	icd10
T524	Toxic effect: Ketones	icd10
T528	Toxic effect: Other organic solvents	icd10
T529	Toxic effect: Organic solvent, unspecified	icd10
T53	Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons	icd10
T530	Toxic effect: Carbon tetrachloride	icd10
T531	Toxic effect: Chloroform	icd10
T532	Toxic effect: Trichloroethylene	icd10
T533	Toxic effect: Tetrachloroethylene	icd10
T534	Toxic effect: Dichloromethane	icd10
T535	Toxic effect: Chlorofluorocarbons	icd10
T536	Toxic effect: Other halogen derivatives of aliphatic hydrocarbons	icd10
T537	Toxic effect: Other halogen derivatives of aromatic hydrocarbons	icd10
T539	Toxic effect: Halogen derivative of aliphatic and aromatic hydrocarbons, unspecified	icd10
T54	Toxic effect of corrosive substances	icd10
T540	Toxic effect: Phenol and phenol homologues	icd10
T541	Toxic effect: Other corrosive organic compounds	icd10
T542	Toxic effect: Corrosive acids and acid-like substances	icd10
T543	Toxic effect: Corrosive alkalis and alkali-like substances	icd10
T549	Toxic effect: Corrosive substance, unspecified	icd10
T55	Toxic effect of soaps and detergents	icd10
T56	Toxic effect of metals	icd10
T560	Toxic effect: Lead and its compounds	icd10
T561	Toxic effect: Mercury and its compounds	icd10
T562	Toxic effect: Chromium and its compounds	icd10
T563	Toxic effect: Cadmium and its compounds	icd10
T564	Toxic effect: Copper and its compounds	icd10
T565	Toxic effect: Zinc and its compounds	icd10
T566	Toxic effect: Tin and its compounds	icd10
T567	Toxic effect: Beryllium and its compounds	icd10
T568	Toxic effect: Other metals	icd10
T569	Toxic effect: Metal, unspecified	icd10
T57	Toxic effect of other inorganic substances	icd10
T570	Toxic effect: Arsenic and its compounds	icd10
T571	Toxic effect: Phosphorus and its compounds	icd10
T572	Toxic effect: Manganese and its compounds	icd10
T573	Toxic effect: Hydrogen cyanide	icd10
T578	Toxic effect: Other specified inorganic substances	icd10
T579	Toxic effect: Inorganic substance, unspecified	icd10
T58	Toxic effect of carbon monoxide	icd10
T59	Toxic effect of other gases, fumes and vapours	icd10
T590	Toxic effect: Nitrogen oxides	icd10
T591	Toxic effect: Sulfur dioxide	icd10
T592	Toxic effect: Formaldehyde	icd10
T593	Toxic effect: Lacrimogenic gas	icd10
T594	Toxic effect: Chlorine gas	icd10
T595	Toxic effect: Fluorine gas and hydrogen fluoride	icd10
T596	Toxic effect: Hydrogen sulfide	icd10
T597	Toxic effect: Carbon dioxide	icd10
T598	Toxic effect: Other specified gases, fumes and vapours	icd10
T599	Toxic effect: Gases, fumes and vapours, unspecified	icd10
T60	Toxic effect of pesticides	icd10
T600	Toxic effect: Organophosphate and carbamate insecticides	icd10
T601	Toxic effect: Halogenated insecticides	icd10
T602	Toxic effect: Other and unspecified insecticides	icd10
T603	Toxic effect: Herbicides and fungicides	icd10
T604	Toxic effect: Rodenticides	icd10
T608	Toxic effect: Other pesticides	icd10
T609	Toxic effect: Pesticide, unspecified	icd10
T61	Toxic effect of noxious substances eaten as seafood	icd10
T610	Toxic effect: Ciguatera fish poisoning	icd10
T611	Toxic effect: Scombroid fish poisoning	icd10
T612	Toxic effect: Other fish and shellfish poisoning	icd10
T618	Toxic effect: Toxic effect of other seafoods	icd10
T619	Toxic effect: Toxic effect of unspecified seafood	icd10
T62	Toxic effect of other noxious substances eaten as food	icd10
T620	Toxic effect: Ingested mushrooms	icd10
T621	Toxic effect: Ingested berries	icd10
T622	Toxic effect: Other ingested (parts of) plant(s)	icd10
T628	Toxic effect: Other specified noxious substances eaten as food	icd10
T629	Toxic effect: Noxious substance eaten as food, unspecified	icd10
T63	Toxic effect of contact with venomous animals	icd10
T630	Toxic effect: Snake venom	icd10
T631	Toxic effect: Venom of other reptiles	icd10
T632	Toxic effect: Venom of scorpion	icd10
T633	Toxic effect: Venom of spider	icd10
T634	Toxic effect: Venom of other arthropods	icd10
T635	Toxic effect: Toxic effect of contact with fish	icd10
T636	Toxic effect: Toxic effect of contact with other marine animals	icd10
T638	Toxic effect: Toxic effect of contact with other venomous animals	icd10
T639	Toxic effect: Toxic effect of contact with unspecified venomous animal	icd10
T64	Toxic effect of aflatoxin and other mycotoxin food contaminants	icd10
T65	Toxic effect of other and unspecified substances	icd10
T650	Toxic effect: Cyanides	icd10
T651	Toxic effect: Strychnine and its salts	icd10
T652	Toxic effect: Tobacco and nicotine	icd10
T653	Toxic effect: Nitroderivatives and aminoderivatives of benzene and its homologues	icd10
T654	Toxic effect: Carbon disulfide	icd10
T655	Toxic effect: Nitroglycerin and other nitric acids and esters	icd10
T656	Toxic effect: Paints and dyes, not elsewhere classified	icd10
T658	Toxic effect: Toxic effect of other specified substances	icd10
T659	Toxic effect: Toxic effect of unspecified substance	icd10
T66	Unspecified effects of radiation	icd10
T67	Effects of heat and light	icd10
T670	Heatstroke and sunstroke	icd10
T671	Heat syncope	icd10
T672	Heat cramp	icd10
T673	Heat exhaustion, anhydrotic	icd10
T674	Heat exhaustion due to salt depletion	icd10
T675	Heat exhaustion, unspecified	icd10
T676	Heat fatigue, transient	icd10
T677	Heat oedema	icd10
T678	Other effects of heat and light	icd10
T679	Effect of heat and light, unspecified	icd10
T68	Hypothermia	icd10
T69	Other effects of reduced temperature	icd10
T690	Immersion hand and foot	icd10
T691	Chilblains	icd10
T698	Other specified effects of reduced temperature	icd10
T699	Effect of reduced temperature, unspecified	icd10
T70	Effects of air pressure and water pressure	icd10
T700	Otitic barotrauma	icd10
T701	Sinus barotrauma	icd10
T702	Other and unspecified effects of high altitude	icd10
T703	Caisson disease [decompression sickness]	icd10
T704	Effects of high-pressure fluids	icd10
T708	Other effects of air pressure and water pressure	icd10
T709	Effect of air pressure and water pressure, unspecified	icd10
T71	Asphyxiation	icd10
T73	Effects of other deprivation	icd10
T730	Effects of hunger	icd10
T731	Effects of thirst	icd10
T732	Exhaustion due to exposure	icd10
T733	Exhaustion due to excessive exertion	icd10
T738	Other effects of deprivation	icd10
T739	Effect of deprivation, unspecified	icd10
T74	Maltreatment syndromes	icd10
T740	Neglect or abandonment	icd10
T741	Physical abuse	icd10
T742	Sexual abuse	icd10
T743	Psychological abuse	icd10
T748	Other maltreatment syndromes	icd10
T749	Maltreatment syndrome, unspecified	icd10
T75	Effects of other external causes	icd10
T750	Effects of lightning	icd10
T751	Drowning and nonfatal submersion	icd10
T752	Effects of vibration	icd10
T753	Motion sickness	icd10
T754	Effects of electric current	icd10
T758	Other specified effects of other external causes	icd10
T76	Unspecified effects of external causes	icd10
T78	Adverse effects, not elsewhere classified	icd10
T780	Anaphylactic shock due to adverse food reaction	icd10
T781	Other adverse food reactions, not elsewhere classified	icd10
T782	Anaphylactic shock, unspecified	icd10
T783	Angioneurotic oedema	icd10
T784	Allergy, unspecified	icd10
T788	Other adverse effects, not elsewhere classified	icd10
T789	Adverse effect, unspecified	icd10
T79	Certain early complications of trauma, not elsewhere classified	icd10
T790	Air embolism (traumatic)	icd10
T791	Fat embolism (traumatic)	icd10
T792	Traumatic secondary and recurrent haemorrhage	icd10
T793	Post-traumatic wound infection, not elsewhere classified	icd10
T794	Traumatic shock	icd10
T795	Traumatic anuria	icd10
T796	Traumatic ischaemia of muscle	icd10
T797	Traumatic subcutaneous emphysema	icd10
T798	Other early complications of trauma	icd10
T799	Unspecified early complication of trauma	icd10
T80	Complications following infusion, transfusion and therapeutic injection	icd10
T800	Air embolism following infusion, transfusion and therapeutic injection	icd10
T801	Vascular complications following infusion, transfusion and therapeutic injection	icd10
T802	Infections following infusion, transfusion and therapeutic injection	icd10
T803	ABO incompatibility reaction	icd10
T804	Rh incompatibility reaction	icd10
T805	Anaphylactic shock due to serum	icd10
T806	Other serum reactions	icd10
T808	Other complications following infusion, transfusion and therapeutic injection	icd10
T809	Unspecified complication following infusion, transfusion and therapeutic injection	icd10
T81	Complications of procedures, not elsewhere classified	icd10
T810	Haemorrhage and haematoma complicating a procedure, not elsewhere classified	icd10
T811	Shock during or resulting from a procedure, not elsewhere classified	icd10
T812	Accidental puncture and laceration during a procedure, not elsewhere classified	icd10
T813	Disruption of operation wound, not elsewhere classified	icd10
T814	Infection following a procedure, not elsewhere classified	icd10
T815	Foreign body accidentally left in body cavity or operation wound following a procedure	icd10
T816	Acute reaction to foreign substance accidentally left during a procedure	icd10
T817	Vascular complications following a procedure, not elsewhere classified	icd10
T818	Other complications of procedures, not elsewhere classified	icd10
T819	Unspecified complication of procedure	icd10
T82	Complications of cardiac and vascular prosthetic devices, implants and grafts	icd10
T820	Mechanical complication of heart valve prosthesis	icd10
T821	Mechanical complication of cardiac electronic device	icd10
T822	Mechanical complication of coronary artery bypass and valve grafts	icd10
T823	Mechanical complication of other vascular grafts	icd10
T824	Mechanical complication of vascular dialysis catheter	icd10
T825	Mechanical complication of other cardiac and vascular devices and implants	icd10
T826	Infection and inflammatory reaction due to cardiac valve prosthesis	icd10
T827	Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts	icd10
T828	Other specified complications of cardiac and vascular prosthetic devices, implants and grafts	icd10
T829	Unspecified complication of cardiac and vascular prosthetic device, implant and graft	icd10
T83	Complications of genitourinary prosthetic devices, implants and grafts	icd10
T830	Mechanical complication of urinary (indwelling) catheter	icd10
T831	Mechanical complication of other urinary devices and implants	icd10
T832	Mechanical complication of graft of urinary organ	icd10
T833	Mechanical complication of intrauterine contraceptive device	icd10
T834	Mechanical complication of other prosthetic devices, implants and grafts in genital tract	icd10
T835	Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system	icd10
T836	Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract	icd10
T838	Other complications of genitourinary prosthetic devices, implants and grafts	icd10
T839	Unspecified complication of genitourinary prosthetic device, implant and graft	icd10
T84	Complications of internal orthopaedic prosthetic devices, implants and grafts	icd10
T840	Mechanical complication of internal joint prosthesis	icd10
T841	Mechanical complication of internal fixation device of bones of limb	icd10
T842	Mechanical complication of internal fixation device of other bones	icd10
T843	Mechanical complication of other bone devices, implants and grafts	icd10
T844	Mechanical complication of other internal orthopaedic devices, implants and grafts	icd10
T845	Infection and inflammatory reaction due to internal joint prosthesis	icd10
T846	Infection and inflammatory reaction due to internal fixation device [any site]	icd10
T847	Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts	icd10
T848	Other complications of internal orthopaedic prosthetic devices, implants and grafts	icd10
T849	Unspecified complication of internal orthopaedic prosthetic device, implant and graft	icd10
T85	Complications of other internal prosthetic devices, implants and grafts	icd10
T850	Mechanical complication of ventricular intracranial (communicating) shunt	icd10
T851	Mechanical complication of implanted electronic stimulator of nervous system	icd10
T852	Mechanical complication of intraocular lens	icd10
T853	Mechanical complication of other ocular prosthetic devices, implants and grafts	icd10
T854	Mechanical complication of breast prosthesis and implant	icd10
T855	Mechanical complication of gastrointestinal prosthetic devices, implants and grafts	icd10
T856	Mechanical complication of other specified internal prosthetic devices, implants and grafts	icd10
T857	Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts	icd10
T858	Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified	icd10
T859	Unspecified complication of internal prosthetic device, implant and graft	icd10
T86	Failure and rejection of transplanted organs and tissues	icd10
T860	Bone-marrow transplant rejection	icd10
T861	Kidney transplant failure and rejection	icd10
T862	Heart transplant failure and rejection	icd10
T863	Heart-lung transplant failure and rejection	icd10
T864	Liver transplant failure and rejection	icd10
T868	Failure and rejection of other transplanted organs and tissues	icd10
T869	Failure and rejection of unspecified transplanted organ and tissue	icd10
T87	Complications peculiar to reattachment and amputation	icd10
T870	Complications of reattached (part of) upper extremity	icd10
T871	Complications of reattached (part of) lower extremity	icd10
T872	Complications of other reattached body part	icd10
T873	Neuroma of amputation stump	icd10
T874	Infection of amputation stump	icd10
T875	Necrosis of amputation stump	icd10
T876	Other and unspecified complications of amputation stump	icd10
T88	Other complications of surgical and medical care, not elsewhere classified	icd10
T880	Infection following immunization	icd10
T881	Other complications following immunization, not elsewhere classified	icd10
T882	Shock due to anaesthesia	icd10
T883	Malignant hyperthermia due to anaesthesia	icd10
T884	Failed or difficult intubation	icd10
T885	Other complications of anaesthesia	icd10
T886	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	icd10
T887	Unspecified adverse effect of drug or medicament	icd10
T888	Other specified complications of surgical and medical care, not elsewhere classified	icd10
T889	Complication of surgical and medical care, unspecified	icd10
T90	Sequelae of injuries of head	icd10
T900	Sequelae of superficial injury of head	icd10
T901	Sequelae of open wound of head	icd10
T902	Sequelae of fracture of skull and facial bones	icd10
T903	Sequelae of injury of cranial nerves	icd10
T904	Sequelae of injury of eye and orbit	icd10
T905	Sequelae of intracranial injury	icd10
T908	Sequelae of other specified injuries of head	icd10
T909	Sequelae of unspecified injury of head	icd10
T91	Sequelae of injuries of neck and trunk	icd10
T910	Sequelae of superficial injury and open wound of neck and trunk	icd10
T911	Sequelae of fracture of spine	icd10
T912	Sequelae of other fracture of thorax and pelvis	icd10
T913	Sequelae of injury of spinal cord	icd10
T914	Sequelae of injury of intrathoracic organs	icd10
T915	Sequelae of injury of intra-abdominal and pelvic organs	icd10
T918	Sequelae of other specified injuries of neck and trunk	icd10
T919	Sequelae of unspecified injury of neck and trunk	icd10
T92	Sequelae of injuries of upper limb	icd10
T920	Sequelae of open wound of upper limb	icd10
T921	Sequelae of fracture of arm	icd10
T922	Sequelae of fracture at wrist and hand level	icd10
T923	Sequelae of dislocation, sprain and strain of upper limb	icd10
T924	Sequelae of injury of nerve of upper limb	icd10
T925	Sequelae of injury of muscle and tendon of upper limb	icd10
T926	Sequelae of crushing injury and traumatic amputation of upper limb	icd10
T928	Sequelae of other specified injuries of upper limb	icd10
T929	Sequelae of unspecified injury of upper limb	icd10
T93	Sequelae of injuries of lower limb	icd10
T930	Sequelae of open wound of lower limb	icd10
T931	Sequelae of fracture of femur	icd10
T932	Sequelae of other fractures of lower limb	icd10
T933	Sequelae of dislocation, sprain and strain of lower limb	icd10
T934	Sequelae of injury of nerve of lower limb	icd10
T935	Sequelae of injury of muscle and tendon of lower limb	icd10
T936	Sequelae of crushing injury and traumatic amputation of lower limb	icd10
T938	Sequelae of other specified injuries of lower limb	icd10
T939	Sequelae of unspecified injury of lower limb	icd10
T94	Sequelae of injuries involving multiple and unspecified body regions	icd10
T940	Sequelae of injuries involving multiple body regions	icd10
T941	Sequelae of injuries, not specified by body region	icd10
T95	Sequelae of burns, corrosions and frostbite	icd10
T950	Sequelae of burn, corrosion and frostbite of head and neck	icd10
T951	Sequelae of burn, corrosion and frostbite of trunk	icd10
T952	Sequelae of burn, corrosion and frostbite of upper limb	icd10
T953	Sequelae of burn, corrosion and frostbite of lower limb	icd10
T954	Sequelae of burn and corrosion classifiable only according to extent of body surface involved	icd10
T958	Sequelae of other specified burn, corrosion and frostbite	icd10
T959	Sequelae of unspecified burn, corrosion and frostbite	icd10
T96	Sequelae of poisoning by drugs, medicaments and biological substances	icd10
T97	Sequelae of toxic effects of substances chiefly nonmedicinal as to source	icd10
T98	Sequelae of other and unspecified effects of external causes	icd10
T980	Sequelae of effects of foreign body entering through natural orifice	icd10
